Reference,Qty,Description,Manufacturer #,Vendor,Price/Unit,Link
"C1, C3, C4, C6, C7, C8",6,CAP CER 10UF 25V X5R 0805,CL21A106KAYNNNE,DigiKey,$0.18,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A106KAYNNNE/3888549
C2,1,CAP CER 0.047UF 50V X7R 0805,CL21B473KBCNNNC,DigiKey,$0.10,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21B473KBCNNNC/3886908
C5,1,CAP CER 4.7UF 25V X5R 0805,CL21A475KAQNNNE,DigiKey,$0.10,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A475KAQNNNE/3886902
"C9, C10, C11, C12, C13, C14",6,CAP CER 22UF 16V X5R 0805,CL21A226KOQNNNE,DigiKey,$0.33,https://www.digikey.com/en/products/detail/samsung-electro-mechanics/CL21A226KOQNNNE/5961010
IC1,1,IC BATT CHG LI-ION 1CELL 24VQFN,BQ25606RGER,DigiKey,$3.33,https://www.digikey.com/en/products/detail/texas-instruments/BQ25606RGER/7312134
IC2,1,IC INTFACE SPECIALIZED TSOT23-6,MAX16054AZT+T,DigiKey,$3.05,https://www.digikey.com/en/products/detail/analog-devices-inc-maxim-integrated/max16054azt-t/1938114
IC3,1,IC REG BOOST ADJ 3A SOT563,TPS61023DRLT,DigiKey,$1.21,https://www.digikey.com/en/products/detail/texas-instruments/TPS61023DRLT/11310622
IC4,1,IC REG BUCK ADJ 4A SOT563,TPS564255DRLR,DigiKey,$0.50,https://www.digikey.com/en/products/detail/texas-instruments/TPS564255DRLR/20415317
"L1, L2, L3",3,FIXED IND 1UH 5.1A 27 MOHM SMD,MDWK4040T1R0MM,DigiKey,$0.63,https://www.digikey.com/en/products/detail/taiyo-yuden/MDWK4040T1R0MM/5880037
Q1,1,MOSFET P-CH 20V 26.5A/34A 8DFN,AONR21117,DigiKey,$0.96,https://www.digikey.com/en/products/detail/alpha-omega-semiconductor-inc/AONR21117/9974858
R1,1,RES 150 OHM 1% 1/10W 0603,RC0603FR-07150RL,DigiKey,$0.10,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07150RL/726958
R2,1,RES 226 OHM 1% 1/10W 0603,RC0603FR-07226RL,DigiKey,$0.10,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07226RL/727065
"R3, R4, R5, R6",4,RES 10K OHM 1% 1/8W 0603,RNCP0603FTD10K0,DigiKey,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RNCP0603FTD10K0/2240139
R7,1,RES 750K OHM 1% 1/10W 0603,RMCF0603FT750K,DigiKey,$0.10,https://www.digikey.com/en/products/detail/stackpole-electronics-inc/RMCF0603FT750K/1761095
"R8, R10",2,RES 100K OHM 1% 1/10W 0603,RC0603FR-07100KL,DigiKey,$0.10,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07100KL/726889
R9,1,RES 487K OHM 1% 1/10W 0603,RC0603FR-07487KL,DigiKey,$0.10,https://www.digikey.com/en/products/detail/yageo/RC0603FR-07487KL/727263
,1,PCB,PCB,DKRed,$1.66,
,,,,,,
,,,,BOM Price:,$16.86,
